,0
0,Arkansas
1,Connecticut
2,Delaware
3,Illinois
4,Indiana
5,Iowa
6,Kansas
7,Louisiana
8,Maryland
9,Massachusetts
10,Michigan
11,Missouri
12,Montana
13,Nebraska
14,Nevada
15,New Hampshire
16,North Carolina
17,Pennsylvania
18,South Carolina
19,Tennessee
20,Utah
21,Vermont
22,Virginia
23,West Virginia
24,Wisconsin
25,Wyoming
